Customer_ID,Credit Score,Risk Category,Limit Amount,Probability of Default,On Time,DPD 30,DPD 60,DPD 90,Net Cash-flow,Credit Utilization,Debt to Income,Loan to Value,Education Level,City,Age,Marital Status,Business
1,95,Low,37913841,0.19747742024915005,0.6,0.2,0.1,0.1,21037641.01508704,0.31524272479963056,0.2564757647216803,2.0163680112862594,Masters or Higher,Karachi,44,Single,Vegetable Oil and Ghee Mills
2,35,High,841451,0.8923575976107162,0.2,0.2,0.3,0.3,940365.4344378391,0.781003252444775,0.7999837062867723,0.7933095139639161,Intermediate/A-level,Lahore,46,Married,Food manufacturing
3,13,High,967638,0.7435951701199436,0.2,0.2,0.3,0.3,732563.2278054339,0.8020713556503047,0.7769862614259705,0.8549309299417238,Matric/O-level,Lahore,43,Widowed,Chemicals & Fertilizers
4,92,Low,16510378,0.0697627673902026,0.6,0.2,0.1,0.1,16889099.40295016,0.48395415490253285,0.2749769743974439,4.5006093224043635,Bachelors,Lahore,37,Single,Crude Oil Refining
5,86,Low,15064371,0.2075779724111434,0.6,0.2,0.1,0.1,12188052.113945717,0.29530385973312206,0.35529748071309,0.2887860340356707,Bachelors,Islamabad,41,Widowed,Food manufacturing
6,69,Medium,9557675,0.42705666285444577,0.4,0.3,0.2,0.1,5337109.359002584,0.41201128784780483,0.5500948230355934,0.6591343848515686,Bachelors,Karachi,40,Widowed,Cotton
7,7,High,807091,0.7674320743708349,0.2,0.2,0.3,0.3,876915.3917812064,0.9235430879869712,0.7153665894610396,0.7620266489189509,Masters or Higher,Multan,33,Single,Mining & Minerals
8,1,High,690428,0.8786061438292235,0.2,0.2,0.3,0.3,900486.9361964777,0.8080643496337865,0.8752508525352154,0.9454117855845989,Masters or Higher,Lahore,34,Single,Cotton
9,95,Low,26992307,0.14226182055614212,0.6,0.2,0.1,0.1,44255878.70377661,0.30412231762635866,0.3744083837525472,2.6360344285785833,Matric/O-level,Faisalabad,47,Married,Cotton
10,28,High,919874,0.9725738946649582,0.2,0.2,0.3,0.3,595278.4517303569,0.9344513278047595,0.8699348805904423,0.8426601046581436,Intermediate/A-level,Karachi,39,Married,Food and Beverages
11,62,Medium,6569857,0.510678248342731,0.4,0.3,0.2,0.1,7126896.165617615,0.4488563531467781,0.5897042142445815,0.5426834052415506,Bachelors,Lahore,39,Single,Vegetable Oil and Ghee Mills
12,39,High,626036,0.9443946156984476,0.2,0.2,0.3,0.3,835015.4386336616,0.9589647370369307,0.6566630668178186,0.9713655885815466,Intermediate/A-level,Karachi,42,Single,Cotton
13,1,High,991166,0.7511623981826344,0.2,0.2,0.3,0.3,861712.7169474622,0.716274383538977,0.6390510909172812,0.9431634875615988,Bachelors,Lahore,36,Married,Casting of Iron & Steel
14,67,Medium,7811260,0.6739645053094695,0.4,0.3,0.2,0.1,6796164.679090153,0.5488923222480272,0.5439882370864773,0.6895774700523729,Bachelors,Lahore,40,Single,Food manufacturing
15,90,Low,39984750,0.09745437859078687,0.6,0.2,0.1,0.1,21419708.450736478,0.46305555234014073,0.2616301624388381,0.7644925123254602,Bachelors,Lahore,49,Single,Vegetable Oil and Ghee Mills
16,60,Medium,5056676,0.5614037031055463,0.4,0.3,0.2,0.1,7637062.980461447,0.5220627871655295,0.5370425789602384,0.7408185180202325,Masters or Higher,Multan,44,Widowed,Cotton
17,57,Medium,5419964,0.5496468223039569,0.4,0.3,0.2,0.1,9761085.924308479,0.41768017617833547,0.5931536474216855,0.7055234204266216,Bachelors,Karachi,38,Widowed,Cotton
18,30,High,563921,0.724428825235175,0.2,0.2,0.3,0.3,957307.4876049745,0.9737140238576324,0.7823946299771586,0.8909820388148404,Intermediate/A-level,Lahore,41,Married,Casting of Iron & Steel
19,42,High,691826,0.9515266432198127,0.2,0.2,0.3,0.3,876067.5835327138,0.9699998198317537,0.885763617960625,0.7929765929563015,Intermediate/A-level,Islamabad,42,Single,Vegetable Oil and Ghee Mills
20,77,Low,31484493,0.3282279545388015,0.6,0.2,0.1,0.1,31061473.403582077,0.33012508372669774,0.2912097412896671,1.5559029906277537,Intermediate/A-level,Karachi,38,Widowed,Mining & Minerals
21,37,High,543114,0.7046501722232181,0.2,0.2,0.3,0.3,516243.6619423906,0.9225431813281515,0.8244406844080409,0.9609536216587531,Masters or Higher,Karachi,41,Single,Crude Oil Refining
22,42,High,894421,0.8975909392980393,0.2,0.2,0.3,0.3,929308.005790698,0.8513541687081035,0.730441720344744,0.8156549789233176,Bachelors,Lahore,37,Single,Cotton
23,78,Low,25509203,0.3874294865272677,0.6,0.2,0.1,0.1,37964702.04772816,0.4713407088543324,0.3337904160790281,2.985861218095375,Intermediate/A-level,Islamabad,41,Widowed,Crude Oil Refining
24,4,High,721954,0.8228487896370826,0.2,0.2,0.3,0.3,645313.6945175263,0.8384370510068812,0.7665455745305936,0.8733100276641715,Masters or Higher,Islamabad,43,Single,Mining & Minerals
25,100,Low,33930583,0.3432812032672523,0.6,0.2,0.1,0.1,39144867.54018803,0.3941860104316719,0.3661375935435298,3.5995667021554576,Bachelors,Karachi,39,Widowed,Vegetable Oil and Ghee Mills
26,87,Low,37858385,0.08569450216869245,0.6,0.2,0.1,0.1,35167063.634949796,0.28024810279963175,0.2943627514430011,4.136015891177401,Intermediate/A-level,Karachi,42,Widowed,Casting of Iron & Steel
27,95,Low,22605845,0.14677917383699912,0.6,0.2,0.1,0.1,42203527.823501036,0.316973399960609,0.2723301111235649,0.7596665206610053,Bachelors,Multan,43,Married,Crude Oil Refining
28,79,Low,20355205,0.17621357173273877,0.6,0.2,0.1,0.1,15659908.465869652,0.4467947933669226,0.26117787767669276,3.3529352688713896,Masters or Higher,Lahore,42,Single,Vegetable Oil and Ghee Mills
29,76,Low,21209387,0.39397977259902595,0.6,0.2,0.1,0.1,33236826.542221744,0.4215720744473795,0.2651607244387345,1.6435836525796603,Matric/O-level,Islamabad,38,Widowed,Mining & Minerals
30,67,Medium,9272075,0.49023200631501895,0.4,0.3,0.2,0.1,5401280.764732166,0.5202374691231958,0.5756255684709592,0.545059631733606,Intermediate/A-level,Faisalabad,37,Married,Casting of Iron & Steel
31,94,Low,48956893,0.3573728657438102,0.6,0.2,0.1,0.1,38978010.55968449,0.3481556480063481,0.28798196497994427,0.8257603503478033,Intermediate/A-level,Faisalabad,43,Married,Vegetable Oil and Ghee Mills
32,96,Low,46542247,0.18715774526134688,0.6,0.2,0.1,0.1,49834278.76758339,0.30037946200528026,0.3710621427274719,3.562146001744377,Bachelors,Multan,47,Married,Cotton
33,20,High,515510,0.8985111510934991,0.2,0.2,0.3,0.3,902224.720748734,0.7838685933083669,0.8570795151670849,0.7709131211438537,Intermediate/A-level,Islamabad,40,Widowed,Food manufacturing
34,10,High,826772,0.8756084097231862,0.2,0.2,0.3,0.3,646560.9008799462,0.9695782912687176,0.6700532965933772,0.9425573531791243,Matric/O-level,Lahore,48,Married,Mining & Minerals
35,82,Low,24842948,0.1767307224384087,0.6,0.2,0.1,0.1,33262153.50981791,0.2982166231780856,0.2649738512135728,2.9504932063519864,Intermediate/A-level,Islamabad,36,Married,Chemicals & Fertilizers
36,52,Medium,5341995,0.4444140884526615,0.4,0.3,0.2,0.1,5290133.039209536,0.6392282307639425,0.5804006871388274,0.6924515691847647,Masters or Higher,Karachi,44,Widowed,Mining & Minerals
37,26,High,984861,0.9549962992302902,0.2,0.2,0.3,0.3,759350.6809734963,0.8228719425496728,0.8038927887416688,0.9940182088401361,Bachelors,Faisalabad,34,Widowed,Chemicals & Fertilizers
38,80,Low,49352450,0.38643222664518695,0.6,0.2,0.1,0.1,43883878.66837456,0.46652548053988174,0.2790201439568561,3.8089272160471594,Intermediate/A-level,Faisalabad,34,Widowed,Food manufacturing
39,75,Low,14596233,0.26098829532249945,0.6,0.2,0.1,0.1,24589987.26922272,0.37209785297833614,0.3941133112571508,2.4606266658407083,Intermediate/A-level,Multan,40,Married,Crude Oil Refining
40,88,Low,34370672,0.24190616463415449,0.6,0.2,0.1,0.1,41197637.00597403,0.27301743480225915,0.3847265463334534,0.29141165811614456,Intermediate/A-level,Lahore,40,Widowed,Cotton
41,42,High,757959,0.8649533988096687,0.2,0.2,0.3,0.3,798304.0735457097,0.7024760303449464,0.616494291256548,0.9666692679686599,Intermediate/A-level,Karachi,37,Single,Mining & Minerals
42,72,Medium,7727701,0.6043741529795836,0.4,0.3,0.2,0.1,7362898.573832965,0.6367339624994182,0.5414320150621058,0.5330170101698313,Bachelors,Islamabad,33,Single,Food and Beverages
43,95,Low,30887574,0.36446724489716065,0.6,0.2,0.1,0.1,34414151.610225275,0.40592789745432273,0.3464140649079745,1.8446386811227378,Bachelors,Lahore,43,Married,Cotton
44,65,Medium,5990391,0.44279814463764244,0.4,0.3,0.2,0.1,7654422.734550457,0.5889833747861377,0.5194121977160848,0.6152285664026038,Bachelors,Islamabad,41,Married,Food manufacturing
45,39,High,749874,0.7168929992100931,0.2,0.2,0.3,0.3,926258.6943520876,0.9488384816688012,0.6041087076311658,0.8544340335104106,Bachelors,Lahore,37,Single,Cotton
46,55,Medium,8186811,0.671298432984693,0.4,0.3,0.2,0.1,7921218.921156038,0.5658373125725921,0.5546945395714237,0.6802690129977591,Intermediate/A-level,Islamabad,49,Married,Chemicals & Fertilizers
47,17,High,632039,0.8247648490979086,0.2,0.2,0.3,0.3,817667.4032499532,0.8791367155286864,0.6598854625222095,0.8768310494675391,Matric/O-level,Faisalabad,46,Widowed,Vegetable Oil and Ghee Mills
48,5,High,772003,0.712186866317557,0.2,0.2,0.3,0.3,527731.9761918006,0.7952972224291815,0.6911149064028547,0.8395013114766133,Masters or Higher,Karachi,35,Married,Cotton
49,86,Low,11516161,0.3630837575504918,0.6,0.2,0.1,0.1,10543443.356506122,0.2942929359963691,0.33239681740671057,0.8044888148950546,Intermediate/A-level,Multan,36,Widowed,Food manufacturing
50,69,Medium,7357455,0.5138495011865597,0.4,0.3,0.2,0.1,6333922.98807251,0.6955078664368168,0.5733251765947945,0.5327092639150639,Bachelors,Lahore,50,Widowed,Crude Oil Refining
51,17,High,950107,0.7319305050593284,0.2,0.2,0.3,0.3,924531.3673619939,0.9904569390777356,0.7526697796002917,0.7520981476992944,Matric/O-level,Islamabad,44,Widowed,Cotton
52,20,High,985759,0.8975229050445976,0.2,0.2,0.3,0.3,596122.0509684539,0.8623544160743845,0.7872480309242401,0.9915694940111806,Intermediate/A-level,Lahore,40,Single,Vegetable Oil and Ghee Mills
53,92,Low,31688192,0.18473106810044948,0.6,0.2,0.1,0.1,28724653.43543862,0.2586853889502517,0.2783215950245974,2.595992094705081,Intermediate/A-level,Lahore,40,Widowed,Vegetable Oil and Ghee Mills
